name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Hallie Bellinger,hb7352,Female,19,Sophomore,85,brown,10,no,no,45,120,no,1,10,bus,no,"5, 10",8,2,7,7,0.75,7,Happy
Man Gabbard,mg5788,Male,19,Sophomore,90,brown,10,no,only socially,300,1000,no,1,4,drive,yes,"5, 8",6,2,5,10,5,7.5,Happy
Sheryll Melendy,sm1539,Female,19,Sophomore,95,brown,10,no,no,60,1000,no,1,10,bus,no,"5, 8",10,3,8,5,1,6.5,Happy
Leah Wolfgram,lw8284,Female,18,Freshman,88,blond,9,yes,no,120,100,yes,1,10,walk,yes,"5, 3",28,8,6,7,2,6.5,Happy
Dorthey Beaird,db3312,Female,34,Freshman,80,black,1,no,no,30,10,no,3,5,drive,no,"6, 1",40,20,3,5,0.5,4,Somewhat happy
Janina Jone,jj5656,Female,19,Sophomore,85,black,3,no,no,120,200,no,0,8,drive,no,"5, 4",15,10,7,7,2,7,Happy
Cleopatra Boydston,cb3961,Female,18,Freshman,85,brown,8,yes,no,120,300,no,1,10,walk,no,"6, 1",30,2,7,8,2,7.5,Happy
Siobhan Hintzen,sh9876,Female,19,Sophomore,50,brown,1,yes,no,30,20,no,1,5,walk,yes,"5, 10",6,4,4,3,0.5,3.5,Unhappy
Matt Croft,mc8532,Male,18,Freshman,85,brown,4,no,no,180,150,yes,1,10,walk,no,"5, 11",25,16,4.5,8,3,6.25,Happy
Mike Loffredo,ml6553,Male,18,Freshman,52,black,1,no,no,45,350,yes,1,7,walk,no,"6, 0",20,6,7,8,0.75,7.5,Unhappy
Tyler Tacker,tt8499,Male,20,Sophomore,80,blond,10,yes,no,60,200,no,2,8.5,walk,no,"5, 7",15,5,8,6,1,7,Somewhat happy
Miquel Miser,mm2208,Male,19,Sophomore,80,brown,10,no,no,30,200,no,1,9,bus,no,"6, 3",5,1,5,6,0.5,5.5,Somewhat happy
Alexander Wester,aw6931,Male,18,Freshman,98,black,2,no,no,60,60,yes,3,10,walk,no,"6, 4",25,10,8,5.5,1,6.75,Happy
Tricia Vanzant,tv6405,Female,18,Freshman,95,blond,10,yes,no,60,50,no,3,8,walk,no,"5, 8",20,2,6,9,1,7.5,Happy
Kattie Bollman,kb9345,Female,19,Sophomore,80,black,9,no,no,70,80,yes,1,7,walk,yes,"5, 7",12,4,8,8,1.1666666666666667,8,Somewhat happy
Ernie Laberge,el6166,Male,20,Sophomore,95,blond,10,yes,no,120,200,no,3,10,bus,no,"6, 3",15,4,8,6,2,7,Happy
Brendan Been,bb3750,Male,19,Sophomore,80,brown,7,yes,no,20,200,no,3,10,walk,no,"6, 0",8,2,9,7,0.3333333333333333,8,Somewhat happy
Carter Carmen,cc9248,Male,19,Sophomore,95,brown,1,no,no,20,50,no,3,10,walk,no,"5, 6",30,15,7,8,0.3333333333333333,7.5,Happy
Ali Dease,ad8460,Male,20,Junior,95,brown,5,no,no,60,10,no,3,8,walk,no,"6, 0",40,20,6,8,1,7,Happy
Cyrus Kastner,ck4806,Male,18,Freshman,95,blond,2,no,no,45,300,yes,1,9,walk,yes,"5, 9",18,8,7.5,8.5,0.75,8,Happy
Rubin Daffron,rd5337,Male,18,Freshman,90,blond,10,no,no,60,100,no,3,1,walk,no,"5, 4",20,5,10,8,1,9,Happy
Leticia Hagemann,lh7797,Female,18,Freshman,50,brown,3,no,no,300,50,yes,1,7,bike,no,"5, 9",40,10,8,11,5,9.5,Unhappy
Norbert Byrge,nb3305,Male,20,Junior,80,blond,10,yes,no,80,1,no,2,8,walk,no,"5, 6",12,5,7,9,1.3333333333333333,8,Somewhat happy
Lane Veatch,lv8174,Male,19,Freshman,90,brown,10,no,no,30,2000,yes,1,6,drive,no,"6, 3",5,2,6,5,0.5,5.5,Happy
Kenton Breau,kb8261,Male,20,Junior,98,blond,1,no,no,45,1,yes,1,9,drive,no,"6, 1",6,2,8,8,0.75,8,Happy
Robert Burdette,rb4740,Male,21,Junior,95,brown,1,no,only socially,7,100,no,1,8,drive,no,"5, 8",20,2,7,8,0.11666666666666667,7.5,Happy
Ariane Crone,ac9079,Female,18,Freshman,50,brown,7,no,no,10,100,yes,1,9,walk,no,"5, 7",15,5,8,10,0.16666666666666666,9,Unhappy
Alix Buckner,ab1727,Female,17,Freshman,50,black,4,no,no,10,500,yes,1,10,walk,no,"5, 8",20,20,6.5,9,0.16666666666666666,7.75,Unhappy
Jeniffer Sullen,js8153,Female,20,Sophomore,85,brown,0,no,no,80,200,no,3,8,bus,no,"5, 8",5,1,6,7,1.3333333333333333,6.5,Happy
Rodger Blackerby,rb5334,Male,19,Junior,60,black,2,yes,no,65,150,no,3,7,bus,no,"6, 1",21,7,4,4,1.0833333333333333,4,Somewhat happy
Man Bogen,mb3764,Male,19,Sophomore,85,brown,10,no,no,35,18,no,2,9,bike,yes,"5, 8",20,5,8,9,0.5833333333333334,8.5,Happy
Muoi South,ms6480,Female,22,Junior,90,brown,5,no,only socially,120,500,no,0,7,bus,no,"5, 7",30,10,5,8,2,6.5,Happy
Freida Dunklin,fd3885,Female,18,Freshman,80,blond,4,no,no,60,150,yes,1,10,walk,no,"5, 6",20,5,7,5,1,6,Somewhat happy
Joy Liu,jl6779,Female,19,Sophomore,80,blond,1,yes,no,10,100,no,7,10,walk,no,"6, 0",20,8,7,5,0.16666666666666666,6,Somewhat happy
Gavin Pricer,gp9067,Male,19,Sophomore,60,brown,10,no,no,10,350,no,3,7,walk,no,"5, 5",40,15,7,10,0.16666666666666666,8.5,Somewhat happy
Dallas Lowenstein,dl6054,Male,21,Sophomore,88,black,1,no,no,20,13,no,1,5,walk,no,"5, 3",20,10,7,8,0.3333333333333333,7.5,Happy
Roger Schneck,rs6651,Male,18,Freshman,55,brown,3,no,no,15,20,yes,1,10,bike,yes,"5, 11",32,24,7,8,0.25,7.5,Unhappy
Saran Pullum,sp4724,Female,18,Freshman,70,brown,2,no,no,120,65,yes,1,6,walk,no,"5, 7",12,10,7,10,2,8.5,Somewhat happy
Bryan Engram,be8028,Male,19,Freshman,87,brown,1,no,no,120,1000,yes,1,8,walk,no,"5, 0",12,15,6,10,2,8,Happy
Clinton Shill,cs8598,Male,19,Freshman,99,red,5,no,no,180,100,yes,1,9,walk,no,"6, 3",12,8,8,7,3,7.5,Happy
King Westling,kw4300,Male,18,Freshman,95,black,5,no,no,30,150,yes,1,8,walk,no,"6, 1",25,20,9.5,9,0.5,9.25,Happy
Annie Dunsmore,ad5346,Female,18,Freshman,80,brown,8,no,no,1,50,yes,1,9,walk,no,"6, 4",20,2,7,5,0.016666666666666666,6,Somewhat happy
Ivonne Bitterman,ib8891,Female,18,Freshman,90,brown,1,no,no,100,25,yes,1,10,walk,yes,"6, 1",15,12,7,8,1.6666666666666667,7.5,Happy
Carma Drysdale,cd5136,Female,19,Freshman,80,brown,2,no,no,60,75,yes,1,8,walk,no,"5, 10",30,12,8,10,1,9,Somewhat happy
Kelle Esh,ke2927,Female,19,Sophomore,75,brown,1,no,no,40,2,no,1,8,walk,no,"5, 10",20,4,8,8,0.6666666666666666,8,Somewhat happy
Tiara Duby,td6978,Female,18,Freshman,20,brown,1,no,no,30,5,yes,1,8,walk,no,"5, 8",8,2,6,8,0.5,7,Unhappy
