name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Lura Speirs,ls6645,Female,20,Junior,75,brown,3,no,no,0,8,no,3,6,bus,no,"5, 6",12,2,6,8,0,7,Somewhat happy
Randolph Tully,rt1496,Male,19,Sophomore,50,brown,2,yes,yes,35,650,yes,1,5,walk,yes,"5, 2",7,7,5,8,0.5833333333333334,6.5,Unhappy
Mellie Fujimoto,mf6470,Female,18,Freshman,95,brown,8,yes,only socially,120,87,no,2,9,walk,yes,"4, 8",15,20,7,9,2,8,Happy
Kirsten Biermann,kb4796,Female,20,Junior,60,brown,1,no,no,60,200,no,2,9,bus,no,"5, 3",15,5,5,7,1,6,Somewhat happy
Brittni Storey,bs9948,Female,17,Freshman,50,black,1,no,no,2,200,yes,1,7,walk,no,"4, 11",20,17,7,8,0.03333333333333333,7.5,Unhappy
Bertram Forester,bf9886,Male,18,Freshman,90,black,1,no,no,60,100,yes,1,10,walk,no,"5, 9",15,5,3,8,1,5.5,Happy
Iraida Empey,ie9949,Female,20,Sophomore,90,blond,10,yes,no,20,1000,no,3,10,walk,no,"5, 1",40,10,8,8,0.3333333333333333,8,Happy
Clifford Mizzell,cm8519,Male,19,Sophomore,80,brown,10,yes,no,60,115,no,7,10,walk,no,"5, 0",20,6,7,8,1,7.5,Somewhat happy
Mirtha Diedrich,md4617,Female,18,Freshman,70,black,1,no,no,60,15,yes,1,2,walk,no,"5, 1",12,8,6.5,8.5,1,7.5,Somewhat happy
Wade Kohut,wk9526,Male,21,Sophomore,80,brown,1,no,no,45,100,no,1,7,drive,no,"5, 1",10,2,7,9,0.75,8,Somewhat happy
Veda Gilson,vg4451,Female,18,Freshman,95,black,5,no,no,45,20,yes,1,9,walk,no,"5, 7",30,10,5,6,0.75,5.5,Happy
Christena Tassin,ct8349,Female,19,Freshman,80,brown,10,no,no,60,30,yes,3,10,walk,no,"5, 1",30,5,6,7,1,6.5,Somewhat happy
Annis Billington,ab1174,Female,18,Freshman,80,brown,3,no,no,10,50,yes,1,8,walk,yes,"5, 0",15,10,6,7,0.16666666666666666,6.5,Somewhat happy
Janette Laughter,jl8822,Female,29,Sophomore,80,black,1,no,no,1,10,no,0,10,drive,no,"4, 11",30,2,4,9,0.016666666666666666,6.5,Somewhat happy
Guillermo Stahly,gs1763,Male,17,Freshman,80,black,10,yes,no,0,500,yes,1,10,walk,yes,"5, 4",40,30,7,5,0,6,Somewhat happy
Felton Waller,fw8317,Male,19,Sophomore,76,black,10,no,no,60,30,no,1,10,drive,no,"5, 6",15,6,6,13,1,9.5,Somewhat happy
Carlie Shankles,cs6281,Female,18,Freshman,50,brown,10,no,no,180,210,yes,1,10,walk,no,"4, 10",6,20,6,10,3,8,Unhappy
Pasquale Traver,pt7134,Male,19,Sophomore,75,,4,yes,no,200,100,no,1,8,bus,no,"5, 8",21,5,6,10,3.3333333333333335,8,Somewhat happy
Hoyt Bernhard,hb7410,Male,18,Freshman,90,brown,3,no,no,24,90,yes,1,9,walk,yes,"4, 7",40,20,8,10,0.4,9,Happy
Sean Mclaurin,sm3581,Male,18,Freshman,75,blond,2,no,no,60,20,yes,1,10,walk,no,"5, 4",24,5,7,8,1,7.5,Somewhat happy
Valrie Acey,va7050,Female,18,Freshman,75,black,1,no,no,60,40,yes,1,8,walk,yes,"5, 0",40,8,4,8,1,6,Somewhat happy
Walker Rademacher,wr3730,Male,20,Sophomore,70,black,5,no,no,15,500,no,0,9,drive,yes,"6, 6",28,1,8,8,0.25,8,Somewhat happy
Xavier Mason,xm6145,Male,20,Sophomore,80,brown,10,yes,no,20,100,yes,1,8,walk,no,"4, 3",20,5,7,9,0.3333333333333333,8,Somewhat happy
Terrence Schreier,ts1593,Male,20,Sophomore,85,blond,1,yes,no,50,50,no,3,9,walk,no,"5, 9",10,4,8,7,0.8333333333333334,7.5,Happy
Lyle Amerine,la4175,Male,18,,75,red,6,no,no,15,100,yes,1,9,walk,yes,"5, 7",15,3,8.5,10,0.25,9.25,Somewhat happy
Ozell Clickner,oc5497,Female,18,Freshman,60,black,10,no,no,240,120,yes,1,7,walk,no,"5, 11",7,10,7,9,4,8,Somewhat happy
Yong Hudnall,yh5796,Male,19,Sophomore,85,brown,10,no,no,30,150,no,2,10,walk,no,"5, 7",18,12,5,8,0.5,6.5,Happy
Mariko Piccolo,mp8299,Female,19,Sophomore,97,black,7,no,no,120,300,no,2,9,walk,no,"5, 4",15,8,7.5,6,2,6.75,Happy
Lisa Breuer,lb5607,Female,18,Freshman,80,black,10,yes,no,11,200,yes,1,9,walk,no,"5, 1",10,5,5,8,0.18333333333333332,6.5,Somewhat happy
Lavada Allard,la8590,Female,19,Sophomore,70,blond,7,yes,no,30,100,no,0,7,bus,no,"5, 3",10,4,7,7,0.5,7,Somewhat happy
Kourtney Longway,kl6345,Female,21,Sophomore,90,black,1,no,no,5,100,yes,1,10,walk,yes,"5, 11",13,5,7,7,0.08333333333333333,7,Happy
